"v_spot_index","alsfc_ctprvn_nm","alsfc_signgu_nm","alsfc_nm","alsfc_rprsntv_tel_no","alsfc_addr","alsfc_detail_addr","alsfc_main_item_nm","alsfc_lo","alsfc_la"
726,서울,영등포구,프라이드필라테스,"02-832-9682",서울특별시 영등포구 여의대방로 95,"4층 프라이드필라테스(신길동)",필라테스,"126.9171529","37.4976542"
727,서울,동작구,파랑새아동발달센터,"02-826-9949",서울특별시 동작구 상도로 301,"지하 1층, 지상 4층 파랑새아동발달센터(상도1동)",기타종목,"126.9499692","37.5009948"
728,서울,동작구,태권박사&스포츠짐,"02-6405-3023",서울특별시 동작구 상도로34길 36-10,"지2층(상도동, 대흥빌딩근생및도시형주택(원룸))",태권도,"126.9447745","37.5036619"
729,서울,동작구,이소영탁구교실,"02-814-7110",서울특별시 동작구 여의대방로 22,"상가동 145, 146호(신대방동, 우성아파트)",탁구,"126.9115326","37.4920816"
730,서울,동작구,우리동작장애인자립생활센터,"02-812-2536",서울특별시 동작구 상도로 43,"지하 1층(대방동, 정원빌딩)",기타종목,"126.9254658","37.5000145"
731,서울,동작구,오케이 복싱,"02-816-1230",서울특별시 동작구 양녕로 257,지하1층 OK복싱(상도1동),복싱,"126.9472949","37.5031673"
732,서울,동작구,예닮필라테스,"",서울특별시 동작구 등용로 73-2,"1층 예닮필라테스(대방동)",필라테스,"126.9321341","37.5078586"
733,서울,영등포구,알파트레이닝센터,"",서울특별시 영등포구 여의대방로 25,"경남아너스빌 상가 B101호(신길동, 보라매 경남아너스빌)",헬스,"126.9103685","37.495069"
734,서울,동작구,아우어리,"07-0753-72540",서울특별시 동작구 여의대방로24길 14,"2층(신대방동)",요가,"126.9210554","37.4980768"
735,서울,동작구,한국체대 용호 태권도,"02-813-3667",서울특별시 동작구 양녕로30길 4,한국체대 용호 태권도(상도동),태권도,"126.9445135","37.4992634"
736,서울,영등포구,신청룡체육관,"02-835-9666",서울특별시 영등포구 신길로16길 11,영신빌딩2층 청룡태권도장(신길동),태권도,"126.9094564","37.4982291"
737,서울,영등포구,사단법인 영등포구스포츠클럽,"02-6265-7330",서울특별시 영등포구 디지털로 413,메리클빌딩 지하1층 (대림동),탁구,"126.9041636","37.4934561"
738,서울,동작구,동작삼일수영장,"02-535-3341",서울특별시 동작구 사당로27길 지하 103,동작삼일수영장(사당동),수영,"126.9574609","37.4949353"
739,서울,영등포구,포스축구아카데미,"",서울특별시 영등포구 디지털로 401,지하 1층 포스축구아카데미(대림동),축구,"126.903243","37.4926229"
740,서울,동작구,상도태권도,"02-821-3152",서울특별시 동작구 상도로22길 46,"2층 상도태권도(상도동)",태권도,"126.937082","37.5014093"
741,서울,동작구,사단법인 글로벌보치아센터,"02-6264-7390",서울특별시 동작구 신대방1가길 38,"105-203(신대방동, 동작상떼빌아파트)",기타종목,"126.9067147","37.4876928"
742,서울,영등포구,보라매태권도,"02-845-9877",서울특별시 영등포구 대방천로 194,"2F 보라매태권도(신길동)",태권도,"126.9124458","37.4988993"
743,서울,동작구,륜태권도,"02-6208-7082",서울특별시 동작구 장승배기로 119,삼거리빌딩401호 륜태권도(노량진동),태권도,"126.9398854","37.5082692"
744,서울,동작구,동작구청(동작구민체육센터),"02-849-0100",서울특별시 동작구 여의대방로16길 53,동작구민체육센터(신대방동),수영,"126.9167552","37.4947228"
745,서울,강남구,스케치바디PT&필라테스,"02-3412-2468",서울특별시 강남구 광평로51길 8,로얄프라자3층 302호(수서동),필라테스,"127.1024711","37.4883738"
746,서울,강남구,용인대예다함태권도,"02-459-7179",서울특별시 강남구 밤고개로21길 69,"3층 용인대예다함태권도(율현동)",태권도,"127.1138956","37.4742272"
747,서울,강남구,용태권도교육관,"02-451-0037",서울특별시 강남구 밤고개로21길 25,"202,203호(자곡동, 래미안포레)",태권도,"127.1097654","37.4754939"
748,서울,마포구,커브스망원클럽,"02-332-9930",서울특별시 마포구 월드컵로 94,"9층 커브스망원클럽(서교동)",에어로빅,"126.9094796","37.5571205"
749,서울,서대문구,홍제미(美)탁구클럽,"02-395-8421",서울특별시 서대문구 세무서7길 12-6,"지하1층(홍제동, 대흥주택)",탁구,"126.9465589","37.5916338"
750,서울,동작구,다짐필라테스 신대방삼거리역점,"02-815-3636",서울특별시 동작구 국사봉1길 11,"4층 다짐필라테스(상도동)",필라테스,"126.929264","37.498998"
751,서울,강남구,어울림운동발달센터,"07-0883-06061",서울특별시 강남구 개포로140길 14,"2층 어울림운동발달센터(일원동)",기타종목,"127.0861456","37.4946592"
752,서울,동작구,가천대상도태권도장,"02-821-2221",서울특별시 동작구 흑석로 11,"2층(상도1동)",태권도,"126.9519089","37.5049704"
753,서울,동작구,경희대 용호태권도,"",서울특별시 동작구 양녕로30길 4,"1층 경희대 용호태권도(상도동)",태권도,"126.9445135","37.4992634"
754,서울,강북구,SK코리아태권도,"02-982-0123",서울특별시 강북구 솔샘로 184,주상가2층 213호SK코리아태권도(미아동),태권도,"127.012925","37.6199404"
755,서울,노원구,용인대백두산태권도,"02-935-6161",서울특별시 노원구 한글비석로5길 62,"8단지상가 2층 용인대백두산태권도(중계동, 중계8단지주공아파트)",태권도,"127.075359","37.6461889"
756,서울,강남구,대왕태권도체육관,"02-445-3434",서울특별시 강남구 헌릉로570길 34,리엔파크프라자 5층 대왕태권도체육관(세곡동),태권도,"127.1034684","37.4631868"
757,서울,강남구,새로운운동발달센터,"02-445-8008",서울특별시 강남구 헌릉로 569,강남리더스프라자606호(세곡동),기타종목,"127.1012408","37.4657595"
758,서울,구로구,대한합기도,"02-862-5753",서울특별시 구로구 가마산로 280,"201호(구로동, 구로2차순영웰라이빌)",합기도,"126.8915795","37.4960691"
759,서울,구로구,고고점핑,"02-6678-8181",서울특별시 구로구 구로중앙로 134,"B1 고고점핑(구로동, 신구로자이나인스에비뉴)",기타종목,"126.8846199","37.4999176"
760,서울,양천구,다사랑아동발달센터,"02-2065-3160",서울특별시 양천구 신정이펜2로 12,"404호(신정동)",기타종목,"126.8328206","37.5126032"
761,서울,강남구,SDTA태권도교육관,"02-3411-0712",서울특별시 강남구 양재대로55길 31,동성빌딩5층(일원동),태권도,"127.0870125","37.4929303"
762,서울,강남구,화랑태권도체육관,"02-3411-9557",서울특별시 강남구 일원로5길 51,"4층 화랑태권도(일원동)",태권도,"127.0843345","37.4922331"
763,서울,성북구,한국체대 고려월드 태권도장,"02-909-0341",서울특별시 성북구 보국문로 19,"푸르지오상가 2층 204,205호(정릉동, 정릉푸르지오아파트)",태권도,"127.0100363","37.6062702"
764,서울,성북구,커브스길음클럽,"02-942-7130",서울특별시 성북구 길음로 20,"4층커브스(길음동)",에어로빅,"127.023066","37.6047272"
765,서울,마포구,서교휘트니스,"02-324-8776",서울특별시 마포구 잔다리로 78,지하1층 서교휘트니스(서교동),헬스,"126.9164321","37.5545258"
766,서울,성북구,고려서진태권도,"02-918-8048",서울특별시 성북구 솔샘로4길 26,"2층 고려서진태권도(정릉동)",태권도,"127.0062293","37.6085493"
767,서울,동작구,국심검도관,"02-584-6820",서울특별시 동작구 사당로16길 7,"4층 국심검도관(사당동)",헬스,"126.9741008","37.4830479"
768,서울,동작구,영아체육관,"02-597-3000",서울특별시 동작구 사당로 170,"2층(사당동)",태권도,"126.9677289","37.4866404"
769,서울,동작구,동작구시설관리공단 사당문화회관,"02-588-4111",서울특별시 동작구 사당로8길 9,사당문화회관(사당동),수영,"126.9696588","37.4847638"
770,서울,동작구,동작구시설관리공단 사당종합체육관,"",서울특별시 동작구 사당로27길 232,사당종합체육관(사당동),헬스,"126.9697426","37.4928063"
771,서울,동작구,사단법인 룩스빛아트컴퍼니,"02-533-4863",서울특별시 동작구 사당로13길 36,지층(사당동),댄스(줌바 등),"126.9721187","37.4856576"
772,서울,관악구,석사경희태권도,"02-586-7676",서울특별시 관악구 남현4길 1,"301호(남현동)",태권도,"126.9766703","37.474972"
773,서울,동작구,영아태권도,"02-597-3000",서울특별시 동작구 사당로 170,"2층 영아태권도(사당동)",태권도,"126.9677289","37.4866404"
774,서울,서초구,태아일체 라온태권도장,"02-577-0355",서울특별시 서초구 청계산로7길 43,"상가동 202호 라온태권도장(신원동, 서초포레스타5단지)",태권도,"127.0571517","37.4515234"
775,서울,서초구,경희대최강태권도,"02-2057-1323",서울특별시 서초구 헌릉로8길 9-8,"2층 경희대최강태권도(내곡동)",태권도,"127.0599237","37.4567153"
776,서울,동작구,해람무예원,"02-815-6102",서울특별시 동작구 현충로 153,한강현대종합상가 3층(흑석동),태권도,"126.970642","37.5060207"
